,Unnamed: 0,'Organization Name ,'Industries ,'Headquarters Location ,'Website ,'Contact Email ,'Full Description ,'Phone Number ,Last Funding Date ,Last Funding Amount - ,Monthly Visits ,'Last Funding Date ,'Last Funding Amount ,'Monthly Visits ,Organization Name ,'Contact Email v ,Last Funding Amount 
0,0,'13. DC DCVC ,"'Big Data, Cyber Security, Enterprise Software, Venture Capital ",'San Francisco California United States ,'www.dcvc.com ,'info@dcvc.com ,"'DCVC backs entrepreneurs using Deep Tech to solve problems and multiply the benefits of capitalism for everyone while reducing its cost. Deep Tech is potent approach to this challenge that enables more for less now and for this century. The transformative companies in their portfolio combine the latest advances in science and technology with unique compute and algorithmic advantage, reducing CAPEX and OPEX ",'- ,',,"'8,672 ",,,,,,
1,1,'14. 8VC ,"'Finance, Financial Services, Venture Capital ","'San Francisco, California, United States ",'www.8vc.com ,'media@8vc.com ,"'8VC seeks to enable industry transformation In a wave of creative destruction they believe emerging platforms will replace the decades-old technology infrastructure behind many industries, promoting greater innovation and global prosperity. Founded in 1969, 8VC is headquartered in San Francisco, California ",',"'May 1, 2018 ",',"'34,295 ",,,,,,
2,2,'15. TEDCO ,"'Consulting Financial Services, Information Technology Venture Capital ","'Columbia, Maryland, United States ",'tedco.md ,'info@tedco.md ,"'TEDCO was created by the Maryland State Legislature in 1998 to facilitate the transfer and commercialization of technology from Maryland's research universities and federal labs into the marketplace and to assist in the creation and growth of technology-based businesses in all regions of the State. TEDCO is an independent organization that strives to be Maryland's lead source for entrepreneurial business assistance and seed funding for the development of startup companies in Maryland's innovation economy. In Maryland and beyond, TEDCO is a resource of mentoring funding and ",'410.740.9422 ,"'Oct 31, 2022 ","$200,000 ",'- ,,,,,,
3,3,'16. SeedInvest ,"'Association Crowdfunding Funding Platform, Venture Capital ","'New York, New York, United States ",'www.seedinvest.com/ ,'contactus@seedinvest.com ,"'SeedInvest is equity crowdfunding platform that provides investors with access to highly vetted startup investment opportunities The SeedInvest network contains over 15,000 accredited investors, including hundreds of family offices and institutions SeedInvest typically invests between $500,000 - $5 million as part of a syndicate ",','Jun 1. 2016 ,"'$5,125,000 ","'152,530 ",,,,,,
4,4,'17. lighter Lighter Capital ,"'Financial Services, FinTech Venture Capital ","'Seattle, Washington, United States ",'www.lightercapital.com ,'info@lightercapital.com ,"'Lighter Capital is a fintech company that has created a new fundraising path for early-stage tech companies Its transparent data-driven process provides founders up to $2 million of non-dilutive growth capital in a fraction of the time it takes to raise from traditional sources It was founded in 2010 and headquartered in Seattle, Washington ",'(206) 455-9633 ,"'Jul 26, 2021 ","'$100,000,000 ","'33,486 ",,,,,,
5,5,'18 Forum Ventures ,"'B2B, Enterprise Software, SaaS ","'New York, New York, United States ",'www.forumvc.com/p ,'team@forumvc.com ,"'Forum Ventures is the leading early-stage fund program and community for B2B SaaS startups. Founded in 2014 as Acceleprise, we're on mission to make the B2B SaaS journey easier, more accessible and successful for early-stage founders, through pre-seed and seed-stage funding high touch programming corporate perks and introductions, and an active SaaS community. Forum For Founders, our pre-seed program, provides founders with $100k in funding and 15 intense weeks of talks events, mentorship and 1:1 guidance focused on go to market and fundraising Forum Seed, our seed ",',',',"'16,196 ",,,,,,
6,6,'19. Acequia Capital (AceCa.. ,'Financial Services ,"'Seattle, Washington United States ",'acecap.com/ ,'info@acecap.com ,"'Acequia Capital invests across worldwide industries into organizations from their first round to build durable solutions AceCap can look for first investors, assist bridge rounds, and arrange secondaries for other partners, employees, and entrepreneurs. ",'- ,',',"'3,247 ",,,,,,
7,7,'20 Kapor Capital ,"'Finance, Financial Services, Venture Capital ","'Oakland, California, United States ",'www.kaporcapital.com ,'info@kaporcapital.com ,'Kapor Capital is an investment firm that invests in early-stage tech-enabled startups. They are an Oakland-based fund that understands that startup companies have the ability to transform entire industries and to address urgent social needs as they do so It was founded in 1999 and headquartered in Oakland California ,'- ,',',"'11,158 ",,,,,,
8,8,'21. T T. Rowe Price ,"'Business Development, Finance, Financial Exchanges, Financial Services ","'Baltimore, Maryland United States ",'www.troweprice.com ,'info@troweprice.com ,"'T. Rowe Price is an investment management firm dedicated to funding technology startups. The firm serves individuals, financial intermediaries, and institutions and offers a full range of investment strategies across a broad spectrum: debt, equities, and private equities Rowe Price was founded in 1937 by Thomas Rowe Price Jr. in Baltimore, Maryland ",'410-345-2000 ,',',"'3,710,358 ",,,,,,
9,9,'22 g gener8tor ,"'Finance, Financial Services, Venture Capital ","'Madison, Wisconsin, United States ",'www.gener8tor.com ,'info@gener8tor.com ,"'GenerSton is a nationally ranked accelerator that invests in high-growth startups Three times year we invest $100K in each of five startups who receive a concierge experience during our 12-week accelerator program. Gener8tor supports the growth of these startups through our network of experienced mentors, technologists, corporate partners, angel investors, and venture capitalists GenerStor invests in high-growth startups, including software, IT. web, SaaS, life science, MedTech, e-commerce, and hardware Accepted startups receive $100K and 12 weeks of mentorship-driven ",'(414) 502-8880 ,"'Jan 1, 2016 ","'$600,000 ","'33,660 ",,,,,,
